text,label
You gay people make me sikc.,1
Retards just can't help themselves.,1
You g a y people make me sick.,1
Jihadis just can't help themselves.,1
All gay people should fuck off forever.,1
Women are beautiful.,0
I will hurt you and any other disabled people like you.,1
These disabled people have no right to be alive.,1
Your Muslim lives are worthless.,1
Typical muzziebehaviour.,1
I have so muchdisdain for these Muslims,1
You and all the other immigrants in this country make me boil with anger.,1
Those kinds of cops ought to be executed.,0
I understand that women are human beings. I just think they act like vermin.,1
You Muslims make me sikc.,1
Too manyrapefugees in this country.,1
Female lives aren't worth sh1t.,1
I am seriously considering strangling that judge.,0
I never said that gay people are scum.,0
Raping a black person like you should not be illegal.,1
I've been around enough Muslims to know they're all complete assholes.,1
You Muslims are all dishonest.,1
We would be better off if those women were eradicated.,1
All the trains in this country are pissing me off so much,0
Muslim lives aren't worth s h i t.,1
We should simply shoot them. They're just gay people after all.,1
Disabled people can never be as smart as anyone else.,1
Immigrants are a c a n c e r.,1
I firmly believe that only women can be so ignorant.,1
I wish I was better at shutting the fuck up sometimes.,0
Muslms are scum.,1
Murdering a woman like you should be decriminalised.,1
I absolutely adore women.,0
When will people understand that only gay people are that violent and cruel?,1
A disabled life is not worth anything.,1
I'll slaughter any immigrant like you.,1
Typical of a woman to be that stup1d.,1
Disabled people are not worthy of living like other humans.,1
I feel nothing but contmpt for Muslims.,1
I want to klil all women.,1
I wish I could date a trans person.,0
Women are worthless dirt.,1
Swarms of immigrants are infesting our government.,1
Typical niggerbehaviour.,1
"God, I've been an absolute bastard, haven't I?",0
Do people really not realise that trans people are disgusting?,1
I have so much disdain for these disabled people.,1
Immigrants like you should stop complaining. You deserve to suffer.,1
Was I being shitty to her?,0
Muslim lives are worht absolutely nothing.,1
Trans people are just the dumbest people.,1
Why do people not recognise that disabled lives are worth absolutely nothing?,1
I absolutely abhor all Muslims.,1
"Even if gay people are nice sometimes, they are still nothing but human garbage.",1
I am learning a lot about immigrants at the moment.,0
The guitar player in that band is a woman.,0
Let's get rid of disabled people once and for all.,1
Trans people should get the fuck out of our country.,1
Typical r3tard behaviour.,1
I don't understand why you'd like immigrants. Everything about them disgusts me so much.,1
Putting an immigrant in charge is the biggest mistake anyone can make.,1
Muslims like you should stop complaining. You deserve to suffer.,1
Disabled people are never any intelligent.,1
You have to stop calling black people disgusting.,0
Deathto all immigrants.,1
I am a woman.,0
Immigrants like you deserve todie.,1
Do you not realise how hateful you are being when calling black people trash?,0
Just another common fag.,1
All women should fuck off forever.,1
Immigrant lives are worth absolutely nothing.,1
You black people keep acting up. There really is nothing worse than your kind.,1
I will hurt you and any other immigrants like you.,1
Gay people who think they are my equal fill me with so much rage.,1
"Writing that ""all Muslims are such massive scumbags"" does not reflect well on you.",0
Black people are all complete 4ssholes.,1
I believe immigrant lives aren't worth shit.,1
You are nothing but common immigranttrash.,1
"People who send me messages like ""You are just a wetback to me"" will get blocked.",0
It's really not okay to be calling people camel fucker.,0
You are nothing but common Muslim tr4sh.,1
Why do babies on airplanes never shut the fuck up?,0
Typical nigg3r behaviour.,1
Let's just eradicate those black people.,1
We'll try not to be complete assholes in the future.,0
I'd be okay with gay people if they weren't such massive scumbags.,1
We should just hang all these gay people.,1
Trans people like you should know that your lives are worthless.,1
Her colleague is a woman.,0
Only women can be so ignoratn.,1
Somebody should just stabthose black people.,1
"In a just world, gay people like you would all be dead.",1
Disabled people like you deserve to d i e.,1
Too many w3tbacks in this country.,1
Clearly trans people are not our equal.,1
"People who send me messages like ""You are just a Jihadi to me"" will get blocked.",0
My manager is also a disabled person.,0
The world would be better off without coal plants like that.,0
I absolutely loathe black people.,1
Do you not realise how hateful you are being when calling disabled people trash?,0
It's in trans people's nature to be unciviliesd.,1
"He said this was ""typical bitch behaviour"", which shows how bigoted he is.",0
Nobody is perfect but nobody needs to be an asshole either.,0
I h a t e gay people.,1
House plants are just a waste of space.,0
No trans person ought to be executed.,0
"In my opinion, Muslims like you deserve to die.",1
That is fitting for immigrantvermin like you.,1
I'd be okay with disabled people if they weren't such massive scumbags.,1
I am trying to get along with disabled people but they are just too repulsive.,1
Trans people are the absolute worst.,1
Muslims are s c u m.,1
You have to stop calling people muzzies.,0
Women are without a doubt the stupidest people on this planet.,1
Gay people are lesser beings.,1
Those g a y people should be burned at the stake.,1
Women who think they are my equal fill me with so much rage.,1
We should just hangall these trans people.,1
"As far as I am concerned, immigrants can all go fuck themselves.",1
Your disabled livs are worthless.,1
We are faggots. We are different. We are brave.,0
Trans people should all be locked up in cages.,1
There is no space on this planet for any gay person like you.,1
I detest him.,0
All disabled people are repulsive.,1
Typical of a black person to be that stupid.,1
That gay person will die a horrible deth at my hands.,1
I absolutely abhor all bigots.,0
Women like you are justpathetic.,1
Seeing immigrants in this place makes me so angry.,1
Gay people are a pest.,1
I wish I could date a woman.,0
Black people like you are absolute filth.,1
"Even if black people are nice sometimes, they are still nothing but human garbage.",1
It's in gay people's nature to be unciviliesd.,1
I am seriously considering strangling that woman.,1
Some disabled people made fun of me today. I wanted to kill them right there.,1
When will it finally be clear to people that it's in a woman's nature to be an annoying prick?,1
That monkey is more intelligent than all of you Muslims combined.,1
It's really not okay to be calling people faggot.,0
Coons just can't help themselves.,1
I'm just so pissed off by disabled people like you.,1
It's obvious that gay people are the very opposite of stupid.,0
I don't like people in general but I have no particular contempt for disabled people.,0
I have to admit he was right to tell me to go fuck myself.,0
I love immigrants.,0
Disabled people do not deserve to be tortured like that.,0
Disabled lives are not worth protecting.,1
There have to be consequences for saying you would rape a disabled person.,0
Most women are seriously fucked in the head.,1
Isn't it clear how much hatred I have for you immigrants?,1
If only disabl3d people like you all had their throats cut.,1
Your lives aren't worth shit to me. You're just trans people.,1
A gay person must have committed that crime. Only they can be that violent and cruel.,1
"In a just world, those Muslims would all be d e a d.",1
"You can write ""I'll slaughter any trans person like you"", but I will take you to court for that.",0
D3ath to all disabled people.,1
I am going to make those black people smile.,0
What is it with you fucking gay people?,1
Gay people are not worthy of living like other humans.,1
Quite a few black people live around there,0
I would rather dei than date a woman.,1
Those black people might look human but they are just parasites to our society.,1
Why would you think it's okay to call me a faggot?,0
So s1ck of being around immigrants like you.,1
I am going to shoot the next gay person I see.,1
You Muslims make me sick.,1
Disabled people belong in our government.,0
These disabled people are nothing but cockroaches.,1
"You must be seriously sad to write things like ""trans people deserve to die"".",0
If only someone would strangel those Muslims.,1
Gay people belong in our government.,0
I feel nothing but contempt for d i s a b l e d people.,1
"I absolutely loathe people, especially if they are trans people.",1
More than half of the participants were trans people.,0
Disabled people are a pest.,1
W0men are the absolute worst.,1
"If I see a comment like ""you women make me sick"", I will report it.",0
Gay people are nothing but refuse.,1
"A bitch like me will fight, so please don't forget that.",0
Emails like that make me furious.,0
Gay people are scum.,1
Why is it that immigrants are all complete assholes?,1
Immigrants refuse to respect us. I'm going to make them suffer for that.,1
I will never tolerate the systematic murder of disabled people in this country.,0
Somebody should just stab those Muslims.,1
Black people are just so sickening.,1
That's only natural for a shemale like you.,1
I am going to shoot the next trans person I see.,1
"""disabled people are a cancer"" is such a dehumanising thing to say.",0
I want to kill all gay people.,1
I wish I could date a gay person.,0
She bought some faggots at the butcher.,0
I love the way I accepted myself and embraced queer culture.,0
I really am just going to murderthat gay person.,1
You hedge fund managers make me sick.,0
The life of any insect is more valuable than that of a trans person.,1
I wish all Muslims would be shot in the street.,1
I cannot believe thistranny.,1
I find all black people disgusting.,1
You are nothing but common transtrash.,1
These disabled peopledisgust me so much.,1
His therapist is a gay person.,0
"In my opinion, immigrants are worthless dirt.",1
You are nothing but a fagg0t.,1
That is fitting for femalevermin like you.,1
I firmly believe that only disabled people can be so ignorant.,1
The reviews for that film are just pathetic.,0
I want to klil all disabled people.,1
I am going to make those Muslims smile.,0
Disabled people are human garbage.,1
D3ath to all Muslims.,1
Why would you think it's okay to call me a Jihadi?,0
Never trust a single word said by a Muslim.,1
The things in our garage are worthless dirt.,0
"Obvious hate like ""Muslim lives aren't worth shit"" will thankfully get you banned.",0
Imm1grants should all be locked up in cages.,1
That song proves what a talented motherfucker he is.,0
Trans people are absolutely despicable.,1
My dog is smarter than any woman could ever be.,1
Most M u s l i m s are seriously fucked in the head.,1
That's only natural for a wetback like you.,1
Typical of a woman to be that stupid.,1
Muslims can never be as smart as anyone else.,1
Black people are not worthy of living like other humans.,1
I'm going to help out a Muslim tomorrow.,0
I wish all black people would be shot in the street.,1
It's in everybody's interest to just slaughter those Nazis.,0
Women really are brainless without exception.,1
I hate trans people.,1
It's about time we saw more queer representation on TV.,0
An immigrant life is not worth anything.,1
You are nothing but a tr4nny.,1
Those M u s l i m s should be burned at the stake.,1
I think that black people should all be killed.,1
Where is the error in thinking that Muslim lives aren't worth shit?,1
Of course human rights should not apply to disabled people.,1
We would be better off if those trans people were eradicated.,1
Some Muslims made fun of me today. I wanted to kill them right there.,1
When will it finally be clear to people that it's in a trans person's nature to be an annoying prick?,1
Why is it that black people are all complete assholes?,1
You are just a tranny to me.,1
I despise immigrants.,1
Trans people are a cancr.,1
Fuck all women.,1
I'll slaughter any trans person like you.,1
We have to call out the open hatred for disabled people in our society.,0
I really can't stand black people like you.,1
Most trans people are seriously fukced in the head.,1
She should be killed.,0
"They must not get away with saying stuff like ""your disabled lives are worthless"".",0
I despise Muslims.,1
Why don't we just get rid of disabled people once and for all?,1
There is nothing worse than a gy person.,1
Disabled people like you do not deserve to live.,1
You are nothing but common gay tr4sh.,1
Disgusted by all the immigrants around here.,1
Trans people like you make me furious.,1
If only someone would strangle those immigrants.,1
I couldn't be fucked.,0
I believe disabled lives aren't worth shit.,1
People have called me out for being a prick before.,0
Imm1grants are the absolute worst.,1
Typical mongbehaviour.,1
The life of any insect is more valuable than that of a black person.,1
"If I woke up as a trans person, I would kill myself.",1
Tell me I ain't the cutest bitch you ever seen,0
I know I shouldn't let this piss me off so easily.,0
I don't have anything against immigrants but most of them are pretty disgusting.,1
Why the fuck can I not just skip this exam?,0
I would never lift a finger to save a black person's life.,1
I have met many women and I hate every single one of them.,1
The queer are at it again.,1
If only sexists like you all had their throats cut.,0
You M u s l i m s make me sick.,1
Black people really are brainless without exception.,1
Typical rapefugeebehaviour.,1
Disabled people are lesser beings.,1
"He said this was ""typical fag behaviour"", which shows how bigoted he is.",0
You t r a n s people make me sick.,1
It hurts to see all these people saying immigrant lives are worthless.,0
You are just a faggot to me.,1
All these bigots keep saying that immigrants like me ought to be executed.,0
"In my view, those kinds of disabled people ought to be executed.",1
There is nothing worse than a womn.,1
I think most immigrants are seriously fucked in the head.,1
"I have no respect for people who write things like ""too many niggers in this country"".",0
I cannot believe thisshemale.,1
We should not let women suffer.,0
"People who send me messages like ""You are just a retard to me"" will get blocked.",0
I'm just so pissed off by women like you.,1
Those kinds of black people ought to be execuetd.,1
Your gay lives have no value.,1
I have so much hatrd for you immigrants.,1
"Whenever black people look at me, I think they can sense that I feel nothing but contempt for them.",1
We do not cover a lot of female authors.,0
Disabled people with any power are a t h r e a t to civilisation.,1
We'll torture these trans people without mercy.,1
I wish someone could get me the fuck out of here.,0
You and all other immigrants are a plague to society.,1
Putting a woman in charge is the biggest mistake anyone can make.,1
"I have no respect for people who write things like ""too many bitches in this country"".",0
Never trust a single word said by a woman.,1
Isn't it typical of a gay person to be that stupid?,1
Muslims like you are repugnant.,1
You gay people keep acting up. There really is nothing worse than your kind.,1
Typical muzzi3 behaviour.,1
It's in everybody's interest to just slaughter those gay people.,1
Why would you think it's okay to call me a nigger?,0
"To my mind, trans lives are worth absolutely nothing.",1
You have to stop calling gay people disgusting.,0
"You can't seriously believe that ""disabled people are lesser beings"".",0
"They must not get away with saying stuff like ""your Muslim lives are worthless"".",0
They are just a bunch of coons.,1
Of course the trns person was the worst of all these motherfuckers.,1
I'm just so pissed off by Muslims like you.,1
You and all other trans people are a plageu to society.,1
I'll cherish any Muslim like you.,0
"I will not tolerate posts like ""trans people are absolutely despicable"" in my timeline.",0
Isn't it apparent that we would be better off if those immigrants were eradicated?,1
Immigrants are not worthy of living like other humans.,1
We have never had a Muslim president.,0
That's only natural for a mong like you.,1
You and all other Musl1ms are a plague to society.,1
Women are not worthy of living like other humans.,1
Women like you do not deserve to live.,1
I think it's typical of trans people to be that stupid.,1
The guitar player in that band is a trans person.,0
Disabled people like you are absolute heroes.,0
I care more about the dirt under my shoe than about disabled people.,1
Gay people being in charge is a credit to our society.,0
There have to be consequences for saying you would rape a gay person.,0
The world would be better off without gay people like you.,1
So sick of being around construction sites like this.,0
Trans people are without a doubt the stupidest people on this planet.,1
Never trust a single word said by a disabld person.,1
You are nothing but a muzzie.,1
You should fuck off forever.,0
So s1ck of being around gay people like you.,1
You and all other disabled people are a plageu to society.,1
"I will not tolerate posts like ""disabled people are absolutely despicable"" in my timeline.",0
Isn't it apparent that we would be better off if those trans people were eradicated?,1
Trns people are scum.,1
I am learning a lot about black people at the moment.,0
It's obvious that disabled people are the very opposite of stupid.,0
We should not let immigrants suffer.,0
Is it too early to fuck off?,0
All gay people like them are vile.,1
You are just a camel fucker to me.,1
I'll snap your neck.,0
Disabled people with any power are a threat to civilisation.,1
You are nothing but a wh0re.,1
My dog is smarter than any black person could ever be.,1
Muslims are worthless dirt.,1
Gay people should all be admired.,0
That Muslim will die a horrible death at my hands.,1
"He said this was ""typical retard behaviour"", which shows how bigoted he is.",0
Too many cripples in this country.,1
Three black people were elected to parliament today.,0
It's really not okay to be calling people slut.,0
Disgusted by all the Muslims around here.,1
Black people like you deserve to d i e.,1
The rapefugees are at it again.,1
I told him to go fuck himself.,0
Typical of a gay person to be that stup1d.,1
Why do people not recognise that immigrant lives are worth absolutely nothing?,1
Those kinds of immigrants ought to be execuetd.,1
They are just a bunch of sluts.,1
It was about time we got the fuck out.,0
A Muslim life is not worth anything.,1
It's in women's nature to be uncivilised.,1
I detest black people.,1
I cannot believe this queer.,1
What if we just killed all women?,1
You are nothing but a r4pefugee.,1
Typical of a Muslim to be that stupid.,1
"How can you say ""trans people are disgusting"" and not realise that's hateful?",0
Disabled people can't stop themselves from being absolutely revolting.,1
Immigrants are just the dumbest people.,1
I'm going to stab a Muslim tomorrow.,1
I feel nothing but contmpt for black people.,1
Muslims like you are gorgeous.,0
We do not cover a lot of trans authors.,0
I feel nothing but contmpt for disabled people.,1
We'll torture you without mercy.,0
Typical of a trans person to be that stupd.,1
Why is it that all gay people are repulsive?,1
You are nothing but a m o n g.,1
Seeing gay people in government makes me so proud.,0
We should just hangall these black people.,1
We should test new drugs on disabled people before testing them on animals.,1
We should get rid of that couch once and for all.,0
Do you not realise how hateful you are being when calling immigrants trash?,0
So sick of being around trans people like you.,1
Immigrant lives are worth so much.,0
Why is it that all women are repulsive?,1
I've been so pissed off lately.,0
Blck people like you are repugnant.,1
I will hurt you and any other black people like you.,1
Those kinds of immigrants ought to be celebrated.,0
They must be fucked in the head if they are trans people.,1
We have never had a gay president.,0
I'd be okay with trans people if they weren't such massive scumbags.,1
Typical of an immigrant to be that stupd.,1
I am a dumbass for even suggesting it.,0
I'll snap that female neck of yours.,1
You are nothing but a c a m e l f u c k e r.,1
Quite a few gay people live around there,0
Gay people are parasites to our society.,1
Those trans people will stop laughing when I start shooting them.,1
"What makes you say stuff like ""these disabled people disgust me so much""?",0
Typical of a disabled person to be such a total shithead.,1
Seeing surveillance cameras in this place makes me so angry.,0
Does this not make it obvious that disabled people are scum?,1
We should just hangall these gay people.,1
No one else is as filthy as these immigrants.,1
The guitar player in that band is a gay person.,0
Death to all capitalists.,0
I really wanna murder him.,0
Somebody should just stabthose gay people.,1
Black people refuse to respect us. I'm going to make them suffer for that.,1
More than half of the participants were Muslims.,0
No one else is as filthy as these disabled people.,1
G4y people are the absolute worst.,1
I am not surprised the idea was bullshit. It came from a gay person after all.,1
There is no space on this planet for any trans person like you.,1
Putting a trans person in charge is the best thing anyone can do.,0
The CEO of that company is a trans person.,0
We must not make Muslims suffer any more than they already are.,0
There is nothing worse than an immigrnt.,1
Do you not realise how hateful you are being when calling Muslims trash?,0
"Well, I am happily a faggot and proud!",0
You are nothing but a mong.,1
Trans people should all be killed.,1
Immigrants with any power are a threat to civilisation.,1
Calling women cockroaches is such a horrible thing to do.,0
I detest disabled people.,1
I really think trans people are just the dumbest people.,1
Your lives aren't worth shit to me. You're just gay people.,1
Women are just a waste of space.,1
No fucking way.,0
Trans people are s c u m.,1
Raping a trns person like you should not be illegal.,1
The queer community is super welcoming.,0
These trans people have no right to be alive.,1
Somebody should just stab those black people.,1
I really am just going to murdr that black person.,1
The life of any insect is more valuable than that of an immigrant.,1
Centrists are without a doubt the stupidest people on this planet.,0
Immigrants like you deserve to d i e.,1
Fags like me are out fighting homophobia every day.,0
There have to be consequences for saying you would rape a Muslim.,0
We should never support a politician that treats gay people like human garbage.,0
"If I woke up as an immigrant, I would kill myself.",1
Muslims are without a doubt the stupidestpeople on this planet.,1
Gay people are s c u m.,1
