id,text,anotator1,anotator2,anotator3,label,links_post,account_post
3227,Xande é só uma poeira e todos com medo de um pó de merda ressecada 😂😂😂😂😂😂,1,1,0,1,https://www.instagram.com/p/C5gMnI0rOSg/,Eduardo Bolsonaro
1862,Duas fraudes. Morram!!!,1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
91,Toma distraída!!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
666,Ela comendo o cu deles e eles aplaudindo ?????!!!,1,0,1,1,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
2031,Esse sujeito é filho do Satanás.,1,1,1,1,https://www.instagram.com/p/B3PK5rOhwtV/,Gleisi Hoffmann
154,Vagabunda ordinária velha dó capeta vai cuidar da sua bunda velha esclerosada,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
6388,Três mulheres empoderadas...👏👏👏,0,0,0,0,https://www.instagram.com/p/C5QuPgVxEbq/,Gleisi Hoffmann
2686,Se o patrão falou que é pirralha tá falado.,1,1,0,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
722,"Se ajeitar direitinho, cabe num camburão!",1,1,1,1,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad
4167,Olha nosso @realrcoutinho da nossos Paraíba 👏🏽👏🏽👏🏽👏🏽,0,0,0,0,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad
1279,Nojo desta imprensa!,1,1,1,1,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
4500,😍😍😍😍onde curti mil vezes ??,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
3756,Vai mostra as provas que é inocente 👏👏👏😆😆😆😆😆😆😆,0,0,0,0,https://www.instagram.com/p/B1ejo45l4FI/,Fernando Haddad
2864,"Bolsonaro é perverso, cruel",1,1,1,1,https://www.instagram.com/tv/B09BRCjB_gV/,Gleisi Hoffmann
2574,Depois de Prenderlo em Segunda instancia Mudam como Camaleão os segundasinstanciaentendumento dos Bolsonaro Moro colegiados GOLPISTAS,1,1,1,1,https://www.instagram.com/p/B55Fxu4F5Y5/,Gleisi Hoffmann
957,"Mas dançar na boca da garrafa e outras coisas ok... agora um cara que veio do nada e criou um império na televisão, gerou empregos e movimentou a economia sem falar na genialidade dele é um safado agora? Quem são vocês pra falar dele? 🤫Vai fazer metade do que ele fez e faz para o país e depois vem falar algo... lacradora e meia dúzia de jumentos querendo distorcer e ofender só para causar discórdia... não é à toa que são cada vez mais a minoria da população.",1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
4405,E a propósito... amo os dois! 😘😘,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
3984,Sempre somos nós q perdemos 😞,0,0,0,0,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
5929,Prá quê suspender se ele e inocente!... Deixe o julgamento seguir... Reforço: se ele é inocente não é preciso suspender o julgamento.,0,0,0,0,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
5540,So tem petistas aqui agora kkk,0,0,0,0,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
5227,E oque tem a ver se foi negra ou branca?,0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila
4496,Essa dupla ❤️,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
5101,"Ele é linda pois a natureza dela é maravilhosa, e transborda beleza pelo simples fato de ser natural em sua essência. Bela",0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila
5716,Que orgulho dela❤️,0,0,0,0,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
4180,A cara de um PRESIDENTE DE VERDADE!😍❤️🙌,0,0,0,0,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad
1187,"Que absurdo estamos vivendo no Brasil! Eu pergunto: não dá para processar esses idiotas por ofensa a moral de uma Ministra? Esperimenta xingar um funcionário público de qualquer porcaria de repartição pública, para ver onde vc vai parar! Então porque não se faz nada quando ofendem o Presidente ou qualquer dos seus auxiliares? Como podemos aceitar isso?",1,1,0,1,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
2204,"Não, Janaina a arrependida cruela, a esquerda tem argumentos porqud a direita brasileira é escrota, com rarissimas exceções...",1,1,1,1,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
2804,"Faz me rir!!! Pirralha!!!! Hittler, Stalin e Gretta!!! Exemplos de Personalidades do ano dessa revista de bosta!!!! Não serve nem pra por em fundo de gaiola pros pássaros cagarem em cima!!!!",1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
3098,"Querem roubar a nossa Amazônia!!! Ja saquearam as Américas e a África, agora querem a cereja do bolo!!! Amazônia é nossa!🇧🇷 @manueladavila",1,1,0,1,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
4875,Dois lindos na parede😍,0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
827,"Aqui , não ligo a Globo...mentirosa e articuladora do mal..",1,1,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
1810,"@joicehasselmannoficial TOLA, MESQUINHA E ARRUINADA.",1,1,0,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
4075,Queria essa menina dando surra de debate na nossa câmara,0,0,0,0,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
6515,Coisa mais lindaaaaa😍😍😍,0,0,0,0,https://www.instagram.com/p/C4J-1kor5gc/,Eduardo Bolsonaro
863,"Kkkkkkkkkkkkkkkkkkkkkkkkkkkkk, esses jornalistas podres da GLOBOLIXO tentam de toda forma boicotar o Governo Bolsonaro, só pra vocês saberem, o povo está vacinado contra vocês viu.",1,1,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
714,Normal e receber a dona do tráfico,1,1,1,1,https://www.instagram.com/p/C49gDoVL70H/,Eduardo Bolsonaro
3197,ajudo a pagar a passagem pra cuba kkk,0,1,1,1,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
2359,"Só mi 🇧🇷🇧🇷mim mi vão trabalhar para o povo, pra isso qe vcs foram eleitas 🇧🇷",1,1,1,1,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
1776,"Não sei quem é mais inútil, o retrato do Jaiminho ou Paulo Freire ?",1,1,0,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
3123,Poderia ter combinado antes pata não passar essa vergonha ao vivo kkkk,1,0,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
429,"Esse homem é ridículo e sem noção, aja paciência p ouvir tanta asneiras 🙄",1,1,1,1,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila
2796,"Essa garota precisa de tratamento, e é triste ver uma menina desperdiçando tempo e dinheiro de quem banca isso, com discursos vazios e de ódio, gerando simpatia apenas para militantes de esquerda a oportunistas....",1,1,0,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
787,"@leilaneneubarth Essa menina já foi uma boa jornalista, mas hoje ? Por questão de comodismo, para não perder o emprego, só fala 💩💩💩! É pau mandado, só fala besteira! É lamentável o que as pessoas fazem e falam para garantir o emprego.",1,1,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
5852,Não tinha anulado este processo?,0,0,0,0,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
2625,"Os Bolsofanáticos !!! É até bonito de ver... Quanta fidelidade ao mito !!! Pra vocês, o Bolsonaro está acima da lei e da ordem, ele pode fazer e falar o que quiser, e vocês dizem Amém Capitão, por favor coma minha mulher, ou, coma meu marido !!! Afinal ele pode tudo né ??? Imagino que o sonho de vocês é que isso realmente aconteça !!!! Vocês são piores que os vermelhos que gritavam por Lula Livre !!!! Sinto em dizer-lhes mas, a pirralha está certa !!! Que base o Bolsonaro tem pra falar de Meio Ambiente !!! Não se pode falar nada contra o clã Bolsonaro que vocês se manifestam !!! 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
610,A globo então deveria ser presa por divulgar um monte de fake news,1,1,1,1,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
6722,Esse é meu Presidente!!!,0,0,0,0,https://www.instagram.com/p/C45laynLYdV/,Eduardo Bolsonaro
3992,"Onde estavam os deputados do PSL ? só vejo vc a Bia em cima de projetos os demais estão muitos dispersos, sei que são muitas comissões mas, essa do PSL liberar bancada não é legal, têm que está fechado todos com o presidente.",0,0,0,0,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
5864,Pelo menos uma boa noticia!,0,0,0,0,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
1643,"Lixo, ainda fala em nome de Deus esse demônio!!",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
1234,Porque a Imprensa nojenta não se manifesta ! A esquerda pode tudo né!? 😠,1,1,1,1,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
3063,Vão para o inferno!👿,1,1,1,1,https://www.instagram.com/p/B1v5c9bJbWX/,Joice Hasselmann
6825,"Manuela, você é maravilhosa!",0,0,0,0,https://www.instagram.com/p/C4B30QfviwY/,Manuela d'Ávila
651,"E o dinheiro também por debaixo dos panos, esse pastoreco dizendo que financiou esse ato, tem que investigar a máquina de roupa suja que está por trás dessa manifestação.",1,1,0,1,https://www.instagram.com/p/Cy56zeNLzPE/,Fernando Haddad
2471,Está na hora de retornar para a. cadeia,1,1,0,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
4041,👏👏😢falou tudo Greta Thunberg.,0,0,0,0,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
1698,"Essa bancada evangélica envergonham os verdadeiros cristãos, embora muitos se deixaram enganar. É o tratamento dentário, terminou?",1,1,0,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
4412,Doida pra ter esse gato como 😍😚❤️❤️❤️meu presente.,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
2744,"ESTE MUNDO ESTÁ PERDIDO, O QUE A GRETA CHUCKY FAZ PELA HUMANIDADE, NADA!!",1,1,0,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
2460,Demorou pra colocar esse ser na cadeia novamente,1,1,1,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
2469,Esse lularapio tem que ser julgado e condenado e voltar a prisão,1,1,1,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
4098,O sistema JÁ ESTÁ EM COLAPSO!!!,0,0,0,0,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad
2814,"Palhaçada, pirralha",1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
1241,Imprensa globalista se superando... inescrupulosos.,1,1,1,1,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
6572,Carla zanbelle gastei das suas prerrogativa de deputada atuante sou seu fã,0,0,0,0,https://www.instagram.com/p/C4wJzqbMqZZ/,Carla Zambelli
4633,Força Ministra. Estamos com você,0,0,0,0,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
3915,Fazer um video denunciando essa fakenews seria mais util. Esse post confunde os leitores. Afinal derrubaram ou não?,0,0,0,0,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
4613,"Minha querida Ministra, simplesmente obrigada por sua força, coragem é comprometimento. VC É UM ANJO",0,0,0,0,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
2585,"Vc está postando essas coisas dessa pirralhada só pra denegrir a imagem do seu presidente, a maioria dos brasileiros nem sabem do que se trata, mas vc faz questão de causar polêmica, continuo dizendo, a opinião dos outros não faz a menor diferença pra mim e pra mais da metade dos brasileiros",1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
5695,🤔🤔😮 muito bem 👏👏👏👏👏 muito bem muito bem 👏👏👏👏👏👏👏👏👏👏👏,0,0,0,0,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
86,#foracomunismosocialismo🤬😠😡👊👊👊,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
3714,#Haddad_livre! Ops..ainda falta a segunda instância...,0,1,0,0,https://www.instagram.com/p/B1ejo45l4FI/,Fernando Haddad
2020,Vota numa praga dessas!,1,1,1,1,https://www.instagram.com/p/B3PK5rOhwtV/,Gleisi Hoffmann
636,"Cretinos, porrada neles!!! 👊👊👊",1,1,1,1,https://www.instagram.com/p/B1uwCHND_Z5/,Carla Zambelli
6938,Já pode ser presidente 🙌🙌,0,0,0,0,https://www.instagram.com/p/C5duspiJ3-_/,Carla Zambelli
6596,Deus abençoe esse menino e a seu pai herói tbm,0,0,0,0,https://www.instagram.com/p/C4ncODbBcrm/,Carla Zambelli
1813,"Uma é traíra, a outra inejosa",1,1,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
2383,Cadeia neles,1,0,1,1,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
6800,"O ministro do Trabalho e Emprego, Luiz Marinho, se autonomeou para o Conselho Fiscal do Serviço Social do Comércio (Sesc), no lugar do Gilberto Carvalho, ex-ministro no governo de Dilma Rousseff. O salário pode chegar a R$ 28,6 mil se ele comparecer a todas as reuniões, e é cumulativo ao salário de ministro. Por cada participação em uma das seis reuniões mensais do Conselho, Marinho receberá R$ 4,7 mil.",0,0,0,0,https://www.instagram.com/p/Ct1XjosLklB,Fernando Haddad
4849,Meu Presidente Favorito!!! 💖💖💖,0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1485,Loucos adorando e idolatrando um loco..... Affff....quanta tolice e cegueira desse povo. Muito triste...😔😢😭 Acorda BRASIL! 🇧🇷💚💛💙 Estamos sobre Nova Direção. Brasil Acima de Tudo e Deus Acima de Todos❣️ 🤗🙏🏻🙌🏼🙌🏼,1,1,0,1,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
860,Rsrsrsrs Globo sem globolixo,1,1,1,1,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
1067,"Ridículo esse tal de Silvio Santos , ficou rico às custas da ignorância do povo!",1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
3,Essa mulher é doente.pilantra!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
6603,"Paulinho, eu te saúdo e abençoo com o ampr que sinto pelo meu proprio pai.Que nunca me falrou nem me falta🙏",0,0,0,0,https://www.instagram.com/p/C4ncODbBcrm/,Carla Zambelli
6091,Brasil Israel Portugal Hungría não podem entrar,0,0,0,0,https://www.instagram.com/p/C5gMnI0rOSg/,Eduardo Bolsonaro
4898,"Foto pesada, professor!",0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
3161,A pessoa quando ficam velhas perde a noção das coisas,1,0,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
6995,Que o Senhor Jesus esteja com vocês dando sabedoria e proteção 🙌,0,0,0,0,https://www.instagram.com/p/C5rDlbTPTJq/,Eduardo Bolsonaro
4081,Que consciência tem essa garota!,0,0,0,0,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
1445,"Se tiver que lutar pelo futuro dos meus filhos e a melhoria do meu país , eu volto para as forças armadas sem salário e ajudo a combater a esquerdalha. #lulaterroristanacadeia",1,1,1,1,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
2439,"Parabens ministro Fschin, se o sr pudesse mandar logo esse lulopetista logo para o presidio, seria muito bom mesmo",1,1,1,1,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
5877,"Q Lula pensa, q é Deus?",0,0,0,0,https://www.instagram.com/p/B5TOC02JF6X/,Joice Hasselmann
2914,"O que mais tem é idiota na política PT e seus puxadinhos, são campeões na categoria.",1,1,1,1,https://www.instagram.com/p/B1v5c9bJbWX/,Joice Hasselmann
5127,Oba💕 também quero te dar um abraço,0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila
945,Que escroto caquético! É a velha hipocrisia judaica no mundo dos pilantras monetários.,1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
962,Velho pedófilo,1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
4234,O entrevistado é faca na caveira😂😂😂,0,0,0,0,https://www.instagram.com/p/B4I9_wdHMYk/,Carla Zambelli
3548,Melhor colégio 😍,0,0,0,0,https://www.instagram.com/p/B1rOH6Wlg4A/,Eduardo Bolsonaro
6962,"Sem sombra de dúvidas, nosso futuro presidente 👏",0,0,0,0,https://www.instagram.com/p/C5duspiJ3-_/,Carla Zambelli
3157,Que absurdo! Esse homem perdeu o bom senso mesmo!,1,0,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
4448,Sou fã incondicional dos dois.,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
4491,Vai ser demais 💜💜,0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
6655,Falou tudo. parabens as pessoas honestas ja intenderam isso,0,0,0,0,https://www.instagram.com/p/C3L9ag3OpuG/,Eduardo Bolsonaro
5136,"Alem de bonita, inteligente!",0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila
3202,"Caralho, que crueldade sem limites o que fazem com ela, porra eu não entendo de leis, mas essas paradas não são crimes? Atacar um trauma pesado desse por mim o sujeito seria fuzilado em praça pública",1,0,1,1,https://www.instagram.com/tv/B5TgBngnkBN/,Carla Zambelli
2361,Vai dormir Benedita!!,1,1,1,1,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
1771,Sem dúvida os grandes educadores por isso que estamos entra às piores escolas do mundo. Horrível,1,0,1,1,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1945,Esse Alexandre é um especialista de respeito mesmo. Veio da merda da Globo pra estrelar ao lado da direita.👏🇧🇷🇧🇷🇧🇷,1,1,1,1,https://www.instagram.com/p/B6Ees1JF2La/,Eduardo Bolsonaro
1928,"Uai @carla.zambelli não teria sido os”não Bivaristas” ? Não acho que a postagem tenha a ver com “falta de serviço”. Como atingida de forma torpe por essa mulher descarada dona @joicehasselmannoficial , vc tem todo o dever de por os pingos nos is e mostrar sim que é Joice. O partido tá pouco ou nada importando.",1,0,1,1,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
4477,"@manueladavila ficamos muito felizes que naquele ano tivemos uma mulher vencedora. Quando vier a Brasília, passe na redação para tomar um cafezinho conosco. ☕ E lembrando que o #premiocongressoemfoco deste ano será transmitido no nosso canal do Youtube, ao vivo, no dia 29 de agosto às 19h. Adoraríamos ter você nos prestigiando na live.",0,0,0,0,https://www.instagram.com/p/B3efAGxlTKb/,Fernando Haddad
1641,Será que STF existe pra que?um infeliz desse não pode ser deputado...tem que cassar urgente este pastor do capeta,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
4871,Que lindas bandeirasss 💖😍😍,0,0,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
4724,Não PODEMOS desistir 🇧🇷😎,0,0,0,0,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
1474,Tem que prender por incitação a violência.,0,1,1,1,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
1754,"O povo tem que se reunir e expulsar esses pastores estelionatários das suas igrejas , bandidos.",1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
2607,Pirralha sem noção 🤮,1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
5000,👏👏👏👏👏Só Deus para permitir tudo isso,0,0,0,0,https://www.instagram.com/p/B6Ees1JF2La/,Eduardo Bolsonaro
2392,Tinha que quebrar o quadro era na cara de quem pintou...bando de hipócritas quando tomam um susto corre para procurar a polícia !!!,1,1,1,1,https://www.instagram.com/tv/B5EDfDPhjyf/,Gleisi Hoffmann
1461,"A gente tem que enforcar esse marginal em praça pública para que sirva de exemplo aos seus seguidores, esse sujeito além de marginal é terrorista !!!",1,1,1,1,https://www.instagram.com/p/B42JqHMFyiu/,Eduardo Bolsonaro
2911,"Têm que haver uma maneira de combater esses miseráveis. Deus me perdoe, mas eles se acham que podem fazer o que querem.aff",1,1,1,1,https://www.instagram.com/p/B1v5c9bJbWX/,Joice Hasselmann
4965,"Aqui em Vitória o comércio está aquecido, os shoppings cheios de pessoas com sacolas nas mãos, várias lojinhas sendo abertas...otimismo e esperança 👏👏",0,0,0,0,https://www.instagram.com/p/B6Ees1JF2La/,Eduardo Bolsonaro
5288,Parabéns querido Haddad.👏😍,0,0,0,0,https://www.instagram.com/p/B53DtnSlTq8/,Fernando Haddad
5321,Vc merece! Parabéns!,0,0,0,0,https://www.instagram.com/p/B53DtnSlTq8/,Fernando Haddad
981,E tem idiota que acha graça nisso e ainda aplaude..nojo desse velho porco,1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
3741,Boa professor 😉,0,0,0,0,https://www.instagram.com/p/B1ejo45l4FI/,Fernando Haddad
2140,E bem feito pra quem votou nesse traste,1,0,1,1,https://www.instagram.com/p/B3PK5rOhwtV/,Gleisi Hoffmann
2680,"Emprego é bom mas ganhar 1.200,00 por mês pra cuidar de casa e filhos, é outra história. É muito pão e circo.",1,1,0,1,https://www.instagram.com/p/C1Wwy_YuxZ5/,Fernando Haddad
5581,Estes filhos do Bolsonaro podiam ficar quietos ne? Ajudaria muito!,1,0,0,0,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
1740,"E o PSL como sempre, envolvido das atrocidades .",0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
3895,"À vitória, Alberto-Cristina!!",0,0,0,0,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila
4131,Aquele zoom maroto no Haddad lindão! Meu presidente maravilhoso!,0,0,0,0,https://www.instagram.com/p/B1_m4F5lO_d/,Fernando Haddad
360,"Esse moço é triste, um sujeito anormal 😱🤣",1,1,0,1,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila
2753,Essa idiotinha estå servindo de massa de manobra para o richinho comunista Shoros,1,1,1,1,https://www.instagram.com/p/B573NclJYqb/,Joice Hasselmann
6421,Eita esse é o meu eterno presidente que querem prender a todos custo 👏👏👏👏👏👏👏👏👏👏👏,0,0,0,0,https://www.instagram.com/p/C49gDoVL70H/,Eduardo Bolsonaro
4946,Foi tudo em um piscar de olhos.,0,0,0,0,https://www.instagram.com/p/B589PRLHK_N/,Carla Zambelli
3512,"Bom dia Carla.comentei na sua pagina, sobre está tal de Bachelet, mas escrevi sem apontuação ficou um tanto esquesito, escrevi 👏👏👏 carla musa do psl, ai veio o meu comentario, descupa sou teu fá.",0,0,0,0,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
5676,E dar audiência é o que???? Ajuda???,0,0,0,0,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
4039,é importante nos tornarmos progressistas e largarmos de lado esse neoliberaliamo rentista que enriquece banqueiros dos ultimos 17 anos.,0,0,0,0,https://www.instagram.com/p/B2xPpppAUaN/,Manuela d'Ávila
4320,Que dia é horas que vai transmitir?,0,0,0,0,https://www.instagram.com/p/B4K2nvnF3cE/,Eduardo Bolsonaro
5135,Q linda!!!! Bela mulher!!!! Parabéns a ela e a África do Sul!!! 👍👏👏😊😍,0,0,0,0,https://www.instagram.com/p/B52f10agU7G/,Manuela d'Ávila
425,A Argentina do Macri com 50% de inflação e o Bozo asno vem falar isso sem nem saber nada. O povo aqui da Argentina tá rindo da cara do Bozo e pedindo pra ele ficar calado.,1,1,1,1,https://www.instagram.com/p/B1EoGt2gdnT/,Manuela d'Ávila
1009,Isso é mais do que constrangimento! Cretino,1,1,1,1,https://www.instagram.com/p/B3R0XMrAt7g/,Manuela d'Ávila
1547,Pastor do demo,1,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
5635,"Concordo plenamente! Se não temos argumentos que possam contribuir para o crescimento do país e a paz social, devemos calar-",0,0,0,0,https://www.instagram.com/p/B4TD6fRJ9yJ/,Joice Hasselmann
4298,"Essa entrevista vou assistir por sua causa Deputado, quanto ao Queiróz já tem gente para se preocupar por mim 😂😂. Avisa se vai sair na quinta-feira mesmo. 👉🇧🇷",0,0,0,0,https://www.instagram.com/p/B4K2nvnF3cE/,Eduardo Bolsonaro
4820,Escreveu racismo errado? Kkkk. Professor geração Paulo Freire,0,1,0,0,https://www.instagram.com/p/B5QeyE9lNSg/,Fernando Haddad
1760,Tira o nome de Jesus da boca.,0,1,1,1,https://www.instagram.com/p/B4dWN3rgBNx/,Manuela d'Ávila
263,Só defende Lula por ser igual a ele...corrupta.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
